fid, fiv, hid, hiv, batt, hr, hbn, hbts1, hbts2, hbts3, hbts4, hbts5, hbts6, hbts7, hbts8, hbts9, hbts10, hbts11, hbts12, hbts13, hbts14, hbts15, distance, speed, strides
26,1f,80,1d,96,81,49,56173,55429,54741,54081,53401,52701,51997,51249,50449,49669,48921,48145,47361,46593,45765,173,0,9
26,1f,80,1d,95,81,51,57641,56905,56173,55429,54741,54081,53401,52701,51997,51249,50449,49669,48921,48145,47361,173,0,9
26,1f,80,1d,96,81,52,58405,57641,56905,56173,55429,54741,54081,53401,52701,51997,51249,50449,49669,48921,48145,173,0,9
26,1f,80,1d,97,80,53,59197,58405,57641,56905,56173,55429,54741,54081,53401,52701,51997,51249,50449,49669,48921,173,0,9
26,1f,80,1d,97,80,55,60765,59977,59197,58405,57641,56905,56173,55429,54741,54081,53401,52701,51997,51249,50449,173,0,9
26,1f,80,1d,97,79,56,61585,60765,59977,59197,58405,57641,56905,56173,55429,54741,54081,53401,52701,51997,51249,173,0,9
26,1f,80,1d,95,78,57,62429,61585,60765,59977,59197,58405,57641,56905,56173,55429,54741,54081,53401,52701,51997,173,0,9
26,1f,80,1d,96,78,58,63205,62429,61585,60765,59977,59197,58405,57641,56905,56173,55429,54741,54081,53401,52701,173,0,9
26,1f,80,1d,96,78,60,64689,63953,63205,62429,61585,60765,59977,59197,58405,57641,56905,56173,55429,54741,54081,173,0,9
26,1f,80,1d,97,78,61,65433,64689,63953,63205,62429,61585,60765,59977,59197,58405,57641,56905,56173,55429,54741,173,0,9
26,1f,80,1d,95,79,62,653,65433,64689,63953,63205,62429,61585,60765,59977,59197,58405,57641,56905,56173,55429,173,0,9
26,1f,80,1d,96,79,64,2153,1389,653,65433,64689,63953,63205,62429,61585,60765,59977,59197,58405,57641,56905,173,0,9
26,1f,80,1d,95,79,65,2913,2153,1389,653,65433,64689,63953,63205,62429,61585,60765,59977,59197,58405,57641,173,0,9
26,1f,80,1d,95,79,66,3649,2913,2153,1389,653,65433,64689,63953,63205,62429,61585,60765,59977,59197,58405,173,0,9
26,1f,80,1d,94,79,68,5289,4425,3649,2913,2153,1389,653,65433,64689,63953,63205,62429,61585,60765,59977,173,0,9
26,1f,80,1d,96,78,69,6145,5289,4425,3649,2913,2153,1389,653,65433,64689,63953,63205,62429,61585,60765,173,0,9
26,1f,80,1d,96,77,70,6953,6145,5289,4425,3649,2913,2153,1389,653,65433,64689,63953,63205,62429,61585,173,0,9
26,1f,80,1d,95,77,71,7781,6953,6145,5289,4425,3649,2913,2153,1389,653,65433,64689,63953,63205,62429,173,0,9
26,1f,80,1d,97,76,72,8613,7781,6953,6145,5289,4425,3649,2913,2153,1389,653,65433,64689,63953,63205,173,0,9
26,1f,80,1d,95,75,74,10297,9481,8613,7781,6953,6145,5289,4425,3649,2913,2153,1389,653,65433,64689,173,0,9
26,1f,80,1d,95,75,75,11085,10297,9481,8613,7781,6953,6145,5289,4425,3649,2913,2153,1389,653,65433,173,0,9
26,1f,80,1d,95,75,76,11849,11085,10297,9481,8613,7781,6953,6145,5289,4425,3649,2913,2153,1389,653,173,0,9
26,1f,80,1d,95,76,78,13341,12581,11849,11085,10297,9481,8613,7781,6953,6145,5289,4425,3649,2913,2153,173,0,9
26,1f,80,1d,94,76,79,14113,13341,12581,11849,11085,10297,9481,8613,7781,6953,6145,5289,4425,3649,2913,173,0,9
26,1f,80,1d,94,77,80,14869,14113,13341,12581,11849,11085,10297,9481,8613,7781,6953,6145,5289,4425,3649,173,0,9
26,1f,80,1d,95,77,82,16333,15605,14869,14113,13341,12581,11849,11085,10297,9481,8613,7781,6953,6145,5289,173,0,9
26,1f,80,1d,96,78,83,17057,16333,15605,14869,14113,13341,12581,11849,11085,10297,9481,8613,7781,6953,6145,173,0,9
26,1f,80,1d,95,78,84,17753,17057,16333,15605,14869,14113,13341,12581,11849,11085,10297,9481,8613,7781,6953,173,0,9
26,1f,80,1d,93,80,86,19081,18429,17753,17057,16333,15605,14869,14113,13341,12581,11849,11085,10297,9481,8613,173,0,9
26,1f,80,1d,95,81,88,20329,19713,19081,18429,17753,17057,16333,15605,14869,14113,13341,12581,11849,11085,10297,173,0,9
26,1f,80,1d,95,83,89,20941,20329,19713,19081,18429,17753,17057,16333,15605,14869,14113,13341,12581,11849,11085,173,0,9
26,1f,80,1d,95,85,91,22173,21553,20941,20329,19713,19081,18429,17753,17057,16333,15605,14869,14113,13341,12581,173,0,9
26,1f,80,1d,96,86,92,22817,22173,21553,20941,20329,19713,19081,18429,17753,17057,16333,15605,14869,14113,13341,173,0,9
26,1f,80,1d,96,86,94,24257,23513,22817,22173,21553,20941,20329,19713,19081,18429,17753,17057,16333,15605,14869,173,0,9
26,1f,80,1d,96,86,95,24997,24257,23513,22817,22173,21553,20941,20329,19713,19081,18429,17753,17057,16333,15605,173,0,9
26,1f,80,1d,96,85,96,25781,24997,24257,23513,22817,22173,21553,20941,20329,19713,19081,18429,17753,17057,16333,173,0,9
26,1f,80,1d,96,84,97,26617,25781,24997,24257,23513,22817,22173,21553,20941,20329,19713,19081,18429,17753,17057,173,0,9
26,1f,80,1d,95,82,99,28305,27485,26617,25781,24997,24257,23513,22817,22173,21553,20941,20329,19713,19081,18429,173,0,9
26,1f,80,1d,97,81,100,29157,28305,27485,26617,25781,24997,24257,23513,22817,22173,21553,20941,20329,19713,19081,173,0,9
26,1f,80,1d,96,79,101,30037,29157,28305,27485,26617,25781,24997,24257,23513,22817,22173,21553,20941,20329,19713,173,0,9
26,1f,80,1d,96,78,102,30877,30037,29157,28305,27485,26617,25781,24997,24257,23513,22817,22173,21553,20941,20329,173,0,9
26,1f,80,1d,96,77,103,31753,30877,30037,29157,28305,27485,26617,25781,24997,24257,23513,22817,22173,21553,20941,173,0,9
26,1f,80,1d,91,76,104,32593,31753,30877,30037,29157,28305,27485,26617,25781,24997,24257,23513,22817,22173,21553,173,0,9
26,1f,80,1d,92,76,106,34281,33405,32593,31753,30877,30037,29157,28305,27485,26617,25781,24997,24257,23513,22817,173,0,9
26,1f,80,1d,91,75,107,35181,34281,33405,32593,31753,30877,30037,29157,28305,27485,26617,25781,24997,24257,23513,173,0,9
26,1f,80,1d,90,74,108,36061,35181,34281,33405,32593,31753,30877,30037,29157,28305,27485,26617,25781,24997,24257,173,0,9
26,1f,80,1d,90,73,109,36969,36061,35181,34281,33405,32593,31753,30877,30037,29157,28305,27485,26617,25781,24997,173,0,9
26,1f,80,1d,89,72,110,37913,36969,36061,35181,34281,33405,32593,31753,30877,30037,29157,28305,27485,26617,25781,173,0,9
26,1f,80,1d,90,71,111,38849,37913,36969,36061,35181,34281,33405,32593,31753,30877,30037,29157,28305,27485,26617,173,0,9
26,1f,80,1d,90,71,112,39725,38849,37913,36969,36061,35181,34281,33405,32593,31753,30877,30037,29157,28305,27485,173,0,9
26,1f,80,1d,89,70,113,40621,39725,38849,37913,36969,36061,35181,34281,33405,32593,31753,30877,30037,29157,28305,173,0,9
26,1f,80,1d,89,70,115,42337,41485,40621,39725,38849,37913,36969,36061,35181,34281,33405,32593,31753,30877,30037,173,0,9
26,1f,80,1d,89,70,116,43233,42337,41485,40621,39725,38849,37913,36969,36061,35181,34281,33405,32593,31753,30877,173,0,9
26,1f,80,1d,91,70,117,44169,43233,42337,41485,40621,39725,38849,37913,36969,36061,35181,34281,33405,32593,31753,173,0,9
26,1f,80,1d,92,69,118,45045,44169,43233,42337,41485,40621,39725,38849,37913,36969,36061,35181,34281,33405,32593,173,0,9
26,1f,80,1d,94,69,119,45973,45045,44169,43233,42337,41485,40621,39725,38849,37913,36969,36061,35181,34281,33405,173,0,9
26,1f,80,1d,94,68,120,46957,45973,45045,44169,43233,42337,41485,40621,39725,38849,37913,36969,36061,35181,34281,173,0,9
26,1f,80,1d,95,67,121,47961,46957,45973,45045,44169,43233,42337,41485,40621,39725,38849,37913,36969,36061,35181,173,0,9
26,1f,80,1d,96,67,122,48933,47961,46957,45973,45045,44169,43233,42337,41485,40621,39725,38849,37913,36969,36061,173,0,9
26,1f,80,1d,95,66,123,49913,48933,47961,46957,45973,45045,44169,43233,42337,41485,40621,39725,38849,37913,36969,173,0,9
26,1f,80,1d,95,65,124,50909,49913,48933,47961,46957,45973,45045,44169,43233,42337,41485,40621,39725,38849,37913,173,0,9
26,1f,80,1d,96,65,125,51877,50909,49913,48933,47961,46957,45973,45045,44169,43233,42337,41485,40621,39725,38849,173,0,9
26,1f,80,1d,96,65,126,52765,51877,50909,49913,48933,47961,46957,45973,45045,44169,43233,42337,41485,40621,39725,173,0,9
26,1f,80,1d,96,65,127,53673,52765,51877,50909,49913,48933,47961,46957,45973,45045,44169,43233,42337,41485,40621,173,0,9
26,1f,80,1d,96,65,128,54585,53673,52765,51877,50909,49913,48933,47961,46957,45973,45045,44169,43233,42337,41485,173,0,9
26,1f,80,1d,95,65,130,56301,55477,54585,53673,52765,51877,50909,49913,48933,47961,46957,45973,45045,44169,43233,173,0,9
26,1f,80,1d,97,66,131,57161,56301,55477,54585,53673,52765,51877,50909,49913,48933,47961,46957,45973,45045,44169,173,0,9
26,1f,80,1d,96,67,132,58029,57161,56301,55477,54585,53673,52765,51877,50909,49913,48933,47961,46957,45973,45045,173,0,9
